member,num_magnet_schools,num_charter_schools,TOTFRL,FRELCH,pct_participating,popu_tot,meanic_hh,hh_ratio_married,hh_ratio_female,highschool,bachelorplus,employ,gini,y,t_cluster,t_median,z_cluster,z_median,countyid,funding,hh_ratio_black,score
478.25,-0.148113116,-0.182243202,207.5,171.625,1.0,-0.060781469000000005,-0.62698522,0.506311934,-0.106866485,-0.61519817,-0.6747285559999999,-0.655713349,0.09190582,-0.46428571399999996,0,0,0,0,1043,-0.782101307,-0.531862433,-0.46428571399999996
551.0,-0.148113116,-0.182243202,307.8,270.0,1.0,-0.160219102,-0.473812024,-0.162021878,0.615979037,0.056792250999999995,-0.415283016,-1.173668342,0.314178705,-0.514285714,0,0,0,1,1045,-0.782101307,0.794413374,-0.514285714
530.25,-0.148113116,-0.182243202,331.75,331.75,1.0,-0.186803511,-1.331570381,-2.80521565,3.068339443,-0.75944803,-0.7622283590000001,-1.387624102,1.476187589,-1.098214286,0,0,1,1,1047,-0.782101307,4.185195591,-1.098214286
884.2222222000001,-0.148113116,-0.182243202,524.0,470.33333330000005,1.0,-0.09312409,-0.812700677,0.310589037,0.091533691,-1.954805418,-0.8815063190000001,-0.5174212770000001,0.5589602379999999,-0.7023809520000001,0,0,0,0,1049,-0.782101307,-0.49556042,-0.7023809520000001
756.4,-0.148113116,-0.182243202,364.6,307.2,1.0,-0.062978884,0.38600997600000003,0.37584289,0.43481729799999996,0.09044051300000001,0.218323183,-0.72065359,-0.21196091,-0.475,0,0,0,1,1051,-0.782101307,0.665658354,-0.475
434.5,-0.148113116,-0.182243202,272.5,250.25,1.0,-0.196448746,-1.048241298,-0.6772965559999999,0.702354748,-0.7631379690000001,-0.995259239,-1.762585495,1.1104220809999998,-0.48214285700000004,0,0,1,1,1053,-0.782101307,1.4563841480000002,-0.48214285700000004
662.375,-0.148113116,-0.182243202,358.875,301.125,1.0,0.005168672,-0.622051461,-0.143138515,0.45187560600000004,-0.509321279,-0.496420817,-0.690181033,-0.023450994,-0.569196429,0,0,0,1,1055,-0.782101307,0.504741818,-0.569196429
364.3333333,-0.148113116,-0.182243202,200.66666669999998,167.66666669999998,1.0,-0.260967797,-0.8987949009999999,0.395293386,-0.23305310199999998,-0.998487885,-0.7119669809999999,-0.863542597,0.618045435,-0.511904762,0,0,0,1,1057,-0.782101307,0.318191021,-0.511904762
510.0,-0.148113116,-0.182243202,158.83333330000002,158.83333330000002,1.0,-0.21526526399999998,-0.87704374,-0.373283026,0.713873675,-1.5567351740000002,-0.861135318,-0.604237648,-0.40609798700000005,-0.663690476,0,0,0,1,1059,-0.782101307,-0.130532245,-0.663690476
304.25,-0.148113116,-0.182243202,177.25,153.5,1.0,-0.230453278,-0.8891704020000001,0.13785673699999998,0.524434782,-1.096755428,-1.08850253,-0.645693734,0.001871233,-0.625,0,0,0,1,1061,-0.782101307,0.032222191000000004,-0.625
359.0,-0.148113116,-0.182243202,301.0,283.0,1.0,-0.285970314,-1.938634545,-2.7884781939999996,2.403028946,-1.441035625,-1.0758506509999999,-2.473700106,1.9657506530000002,-1.178571429,0,0,1,1,1063,-0.782101307,5.040972942,-1.178571429
439.5,-0.148113116,-0.182243202,286.0,252.5,1.0,-0.266082788,-0.920883207,-1.4205175230000002,2.084855401,-0.774853817,-0.730314195,-1.5450882209999999,1.4593061040000002,-0.9464285709999999,0,0,1,1,1065,-0.782101307,3.34962072,-0.9464285709999999
398.5,-0.148113116,-0.182243202,256.5,232.5,1.0,-0.25957363899999997,-0.368855424,0.393453785,-0.105172598,-0.840962256,-0.427618105,-0.381677235,0.22414411899999998,-0.75,0,0,1,1,1067,-0.782101307,1.290473514,-0.75
859.7142857000001,-0.148113116,-0.182243202,504.57142860000005,443.57142860000005,1.0,0.008172421,-0.252847343,-0.884346517,1.095622409,-0.144350497,-0.047937235999999994,-0.303369736,0.9781837809999999,-0.538265306,0,0,1,1,1069,-0.782101307,1.222849791,-0.538265306
595.2857142999999,-0.148113116,-0.182243202,354.2857143,289.2857143,1.0,-0.151192467,-0.899305032,0.651390576,-0.250726626,-0.728287585,-0.8552309570000001,-0.853059773,0.246652765,-0.581632653,0,0,0,1,1071,-0.782101307,-0.38642787700000003,-0.581632653
1012.9,0.691460695,-0.182243202,412.96666669999996,381.7333333,1.0,1.701723645,0.488372295,-1.3442029869999998,1.5466047930000002,0.491545943,1.140384749,0.07611143299999999,1.5774764980000002,-0.6113095239999999,0,0,1,1,1073,-0.782101307,2.3545324169999997,-0.6113095239999999
669.3333332999999,-0.148113116,-0.182243202,399.0,324.3333333,1.0,-0.269080382,-0.939289942,0.533302212,-0.28118369600000004,-1.012426193,-0.8536129379999999,-0.617383473,0.798114608,-0.607142857,0,0,0,1,1075,-0.782101307,0.253571835,-0.607142857
1009.0,-0.148113116,-0.182243202,459.875,407.875,1.0,-0.027275511000000002,-0.291492502,-0.431603277,0.169238492,-0.091802505,0.120291241,-0.173379714,0.423908358,-0.43973214299999996,0,0,0,1,1077,-0.782101307,0.07388258,-0.43973214299999996
395.0,-0.148113116,-0.182243202,229.25,188.5,1.0,-0.209784038,-0.61044783,0.52541447,0.150222026,-1.245117607,-1.194085901,-1.137299535,-0.37233501700000005,-0.7544642859999999,0,0,0,1,1079,-0.782101307,0.252790335,-0.7544642859999999
996.0,-0.148113116,-0.182243202,451.83333330000005,391.5,1.0,0.14375968,0.210643009,-0.737245881,0.827116957,0.594571125,1.5755770869999999,0.033779237999999996,1.571849337,-0.5625,0,0,1,1,1081,-0.782101307,1.154187007,-0.5625
